Game,Date,A,B,C,D,E,F
1,07/11/2009,7,10,20,21,28,34
2,14/11/2009,2,3,4,11,16,34
3,21/11/2009,8,15,21,22,28,31
4,28/11/2009,3,11,12,26,32,38
5,05/12/2009,5,10,14,26,37,39
6,12/12/2009,26,27,29,30,36,39
7,19/12/2009,1,7,25,31,38,40
8,26/12/2009,7,8,9,15,18,30
9,02/01/2010,7,17,27,29,34,37
10,09/01/2010,8,10,24,26,27,36
11,16/01/2010,12,15,28,30,34,39
12,23/01/2010,4,9,12,19,30,40
13,30/01/2010,8,13,17,23,25,38
14,13/02/2010,1,6,12,14,18,40
15,20/02/2010,7,11,24,25,31,39
16,27/02/2010,5,8,13,23,26,36
17,13/03/2010,2,4,6,9,19,29
18,20/03/2010,1,9,11,26,34,35
19,27/03/2010,6,11,12,27,39,40
20,10/04/2010,1,11,16,17,18,31
21,17/04/2010,8,14,21,26,34,36
22,24/04/2010,2,5,26,31,36,38
23,15/05/2010,1,6,13,16,20,26
24,22/05/2010,11,14,21,23,31,35
25,29/05/2010,6,21,25,27,38,39
26,02/06/2010,8,15,16,17,20,26
27,05/06/2010,1,7,15,21,23,27
28,12/06/2010,1,9,23,35,36,39
29,19/06/2010,7,14,27,28,38,40
30,26/06/2010,21,25,28,33,35,40
31,03/07/2010,11,12,14,15,18,35
32,10/07/2010,10,12,15,18,28,29
33,17/07/2010,7,10,18,20,22,29
34,24/07/2010,2,4,5,9,12,18
35,31/07/2010,5,11,19,28,31,36
36,07/08/2010,8,17,18,24,26,30
37,14/08/2010,7,14,20,23,37,39
38,21/08/2010,6,17,21,26,34,35
39,28/08/2010,4,7,18,19,22,23
40,04/09/2010,9,25,29,30,31,37
41,11/09/2010,9,11,18,20,37,39
42,18/09/2010,1,2,10,18,30,33
43,25/09/2010,10,12,15,31,33,39
44,02/10/2010,3,4,5,12,19,25
45,09/10/2010,8,19,23,24,28,39
46,16/10/2010,10,12,19,25,26,35
47,23/10/2010,19,20,28,31,38,40
48,30/10/2010,6,9,17,19,38,39
49,06/11/2010,8,9,17,28,31,34
50,13/11/2010,9,17,19,29,31,36
51,20/11/2010,2,8,9,17,25,30
52,27/11/2010,1,2,11,17,20,39
53,04/12/2010,7,11,16,23,30,36
54,11/12/2010,3,4,6,11,21,32
55,18/12/2010,5,17,19,24,26,38
56,25/12/2010,1,13,18,23,24,38
57,01/01/2011,3,5,8,9,23,31
58,08/01/2011,1,3,8,11,12,33
59,15/01/2011,4,8,24,27,31,32
60,22/01/2011,2,4,5,7,13,39
61,29/01/2011,3,9,22,28,31,37
62,05/02/2011,1,4,5,16,18,23
63,12/02/2011,5,19,23,25,32,34
64,19/02/2011,8,17,18,21,29,37
65,26/02/2011,10,13,18,20,27,34
66,05/03/2011,11,23,25,27,30,38
67,12/03/2011,12,15,20,30,32,35
68,19/03/2011,1,10,11,14,17,18
69,26/03/2011,10,15,23,24,25,38
70,02/04/2011,7,11,16,17,24,40
71,09/04/2011,2,15,17,18,25,37
72,16/04/2011,5,10,13,17,36,39
73,23/04/2011,3,20,21,23,31,39
74,30/04/2011,4,13,17,18,29,38
75,07/05/2011,10,15,18,29,39,40
76,14/05/2011,1,2,11,21,26,39
77,21/05/2011,7,25,26,28,38,39
78,28/05/2011,4,10,11,13,24,27
79,04/06/2011,1,6,14,19,32,39
80,11/06/2011,3,16,19,26,30,35
81,18/06/2011,8,13,15,19,20,38
82,25/06/2011,7,18,19,23,30,34
83,02/07/2011,10,22,23,27,29,34
84,09/07/2011,15,18,25,31,33,37
85,16/07/2011,9,15,17,19,27,29
86,23/07/2011,3,11,19,20,21,24
87,30/07/2011,2,3,16,18,34,38
88,06/08/2011,2,10,23,24,29,37
89,13/08/2011,1,12,18,22,24,32
90,20/08/2011,6,7,19,29,33,38
91,27/08/2011,13,14,19,20,31,32
92,03/09/2011,3,7,10,26,34,35
93,10/09/2011,9,14,15,21,25,40
94,17/09/2011,3,5,15,18,19,23
95,24/09/2011,10,15,16,22,38,40
96,01/10/2011,4,7,15,17,28,35
97,08/10/2011,11,22,25,35,36,40
98,15/10/2011,8,15,19,20,30,40
99,22/10/2011,4,5,6,9,15,39
100,29/10/2011,4,8,16,17,30,32
101,05/11/2011,3,5,22,25,27,28
102,12/11/2011,6,13,21,30,37,39
103,19/11/2011,6,14,18,22,25,29
104,26/11/2011,12,18,24,35,36,39
105,03/12/2011,6,21,26,27,29,38
106,10/12/2011,15,17,21,30,37,39
107,17/12/2011,10,27,28,32,35,39
108,24/12/2011,6,18,29,32,36,38
109,07/01/2012,8,10,15,16,23,33
110,14/01/2012,6,8,13,18,28,36
111,21/01/2012,2,14,24,32,37,40
112,28/01/2012,6,13,16,17,27,37
113,04/02/2012,15,17,28,31,36,38
114,18/02/2012,9,15,21,32,33,40
115,25/02/2012,8,17,24,32,38,39
116,03/03/2012,19,20,24,30,34,35
117,10/03/2012,5,19,23,25,31,33
118,17/03/2012,13,15,16,18,23,29
119,24/03/2012,3,9,23,31,32,37
120,31/03/2012,5,14,25,30,31,34
121,07/04/2012,9,14,16,21,22,27
122,14/04/2012,6,16,21,25,33,40
123,21/04/2012,1,2,14,17,30,40
124,28/04/2012,3,16,19,20,25,26
125,05/05/2012,21,24,28,31,34,35
126,12/05/2012,8,10,15,21,29,31
127,19/05/2012,14,16,23,29,35,38
128,26/05/2012,5,6,8,16,29,40
129,02/06/2012,12,15,16,25,32,40
130,09/06/2012,3,5,28,31,34,40
131,16/06/2012,10,20,21,25,31,34
132,23/06/2012,7,12,29,32,33,37
133,30/06/2012,1,2,15,31,38,40
134,07/07/2012,3,7,15,17,29,39
135,14/07/2012,4,8,12,18,27,35
136,21/07/2012,8,11,12,13,30,37
137,28/07/2012,9,11,20,22,32,37
138,04/08/2012,5,15,30,31,35,36
139,11/08/2012,6,8,12,16,26,34
140,18/08/2012,4,5,7,19,26,33
141,25/08/2012,9,11,16,17,20,40
142,01/09/2012,17,24,28,32,33,34
143,08/09/2012,1,9,12,18,20,22
144,15/09/2012,9,17,23,25,27,35
145,22/09/2012,1,4,7,27,34,37
146,29/09/2012,1,4,10,21,25,29
147,06/10/2012,5,11,19,20,36,38
148,13/10/2012,8,16,26,29,36,39
149,20/10/2012,1,7,8,19,35,40
150,27/10/2012,1,8,16,17,19,27
151,03/11/2012,6,8,14,24,28,34
152,10/11/2012,11,14,18,30,32,33
153,17/11/2012,6,7,11,21,22,31
154,24/11/2012,6,8,17,24,32,37
155,01/12/2012,10,13,14,28,29,34
156,08/12/2012,1,7,8,12,16,35
157,15/12/2012,1,3,11,12,14,32
158,22/12/2012,11,16,30,32,35,40
159,29/12/2012,1,11,12,22,33,38
160,05/01/2013,6,9,16,18,34,37
161,12/01/2013,3,6,12,20,28,40
162,19/01/2013,5,10,26,27,33,37
163,26/01/2013,27,31,32,33,35,39
164,02/02/2013,4,7,10,17,26,34
165,09/02/2013,7,9,12,15,24,36
166,16/02/2013,12,13,28,30,33,40
167,23/02/2013,7,11,13,21,22,37
168,02/03/2013,9,16,18,24,25,37
169,09/03/2013,3,7,27,30,31,34
170,16/03/2013,4,15,29,32,36,40
171,23/03/2013,10,16,19,31,35,37
172,30/03/2013,5,6,7,15,21,27
173,06/04/2013,2,5,7,9,17,37
174,13/04/2013,14,19,20,22,27,31
175,20/04/2013,4,7,17,21,33,34
176,27/04/2013,2,6,10,14,29,37
177,04/05/2013,2,9,11,22,27,28
178,11/05/2013,2,3,9,17,27,29
179,18/05/2013,4,7,8,15,23,26
180,25/05/2013,2,6,18,26,27,35
181,01/06/2013,13,16,21,27,32,40
182,08/06/2013,1,12,19,29,31,35
183,15/06/2013,2,25,26,28,32,34
184,22/06/2013,9,16,17,20,33,39
185,29/06/2013,4,13,23,29,33,36
186,06/07/2013,8,14,22,24,29,31
187,13/07/2013,8,15,19,25,28,37
188,20/07/2013,3,13,16,32,38,40
189,27/07/2013,9,15,26,28,39,40
190,03/08/2013,5,6,12,26,31,34
191,10/08/2013,15,19,20,22,28,33
192,17/08/2013,1,11,12,16,20,23
193,24/08/2013,5,7,8,10,21,33
194,31/08/2013,1,2,12,13,15,26
195,07/09/2013,1,8,10,17,19,28
196,11/09/2013,9,12,13,15,22,37
197,14/09/2013,12,13,22,26,35,38
198,21/09/2013,1,5,10,13,20,22
199,28/09/2013,5,8,14,27,29,35
200,05/10/2013,2,8,15,24,27,33
201,12/10/2013,4,5,13,32,33,36
202,19/10/2013,5,8,11,12,18,22
203,26/10/2013,2,12,27,28,30,40
204,16/11/2013,11,12,17,30,37,38
205,23/11/2013,6,13,29,35,36,40
206,30/11/2013,4,6,16,18,23,28
207,07/12/2013,5,6,9,17,24,30
208,14/12/2013,9,18,28,29,30,35
209,21/12/2013,1,18,24,31,37,40
210,28/12/2013,3,4,9,14,21,29
211,04/01/2014,1,5,6,20,34,36
212,11/01/2014,12,17,21,28,34,38
213,18/01/2014,2,12,13,25,30,32
214,25/01/2014,4,17,30,32,35,36
215,01/02/2014,14,19,24,28,30,34
216,08/02/2014,8,10,18,19,24,30
217,15/02/2014,4,5,7,22,28,34
218,22/02/2014,15,18,28,31,37,40
219,01/03/2014,2,13,17,31,35,38
220,08/03/2014,5,7,8,15,38,39
221,15/03/2014,2,4,15,20,23,27
222,22/03/2014,1,3,4,7,12,16
223,29/03/2014,15,20,27,28,31,34
224,05/04/2014,11,15,16,34,36,40
225,12/04/2014,5,6,9,11,13,30
226,19/04/2014,20,21,25,30,32,33
227,26/04/2014,2,4,10,11,17,30
228,03/05/2014,6,7,12,29,32,38
229,10/05/2014,1,3,13,25,37,40
230,17/05/2014,6,15,16,22,26,28
231,24/05/2014,4,6,7,9,37,40
232,31/05/2014,10,23,28,29,31,35
233,07/06/2014,2,7,8,11,33,38
234,14/06/2014,3,15,21,22,30,31
235,21/06/2014,3,18,28,35,37,38
236,28/06/2014,11,12,14,16,25,36
237,05/07/2014,6,11,30,32,33,40
238,12/07/2014,13,14,25,26,37,38
239,19/07/2014,16,19,25,30,35,38
240,26/07/2014,2,11,16,34,35,39
241,02/08/2014,1,16,22,32,33,36
242,09/08/2014,4,6,10,12,13,32
243,16/08/2014,3,6,28,29,36,38
244,23/08/2014,2,3,19,21,30,37
245,30/08/2014,8,14,22,28,32,36
246,06/09/2014,2,8,15,17,21,36
247,13/09/2014,8,10,13,33,35,36
248,20/09/2014,1,2,6,18,19,22
249,27/09/2014,2,17,18,25,28,34
250,04/10/2014,2,3,18,20,33,34
251,11/10/2014,2,14,22,29,37,38
252,18/10/2014,13,24,28,31,33,37
253,25/10/2014,3,8,12,14,20,38
254,01/11/2014,8,9,10,15,26,27
255,08/11/2014,2,3,5,22,30,39
256,15/11/2014,3,13,18,21,25,26
257,22/11/2014,5,20,30,31,32,40
258,29/11/2014,1,7,16,17,25,35
259,06/12/2014,2,5,7,25,37,40
260,13/12/2014,5,9,16,31,38,40
261,20/12/2014,4,6,14,27,29,38
262,27/12/2014,4,5,6,13,18,36
263,03/01/2015,1,7,9,12,15,20
264,10/01/2015,1,12,27,28,31,34
265,17/01/2015,3,9,15,19,21,25
266,24/01/2015,1,3,6,11,35,40
267,31/01/2015,5,8,12,15,18,28
268,14/02/2015,11,14,24,31,33,39
269,21/02/2015,3,6,14,19,31,38
270,28/02/2015,2,16,17,20,23,36
271,07/03/2015,2,8,20,21,33,38
272,14/03/2015,13,19,21,26,30,38
273,21/03/2015,7,20,21,23,28,40
274,28/03/2015,6,27,30,32,34,40
275,04/04/2015,3,28,30,31,34,38
276,11/04/2015,8,9,13,25,34,36
277,18/04/2015,2,3,4,32,34,39
278,25/04/2015,2,3,23,26,36,40
279,02/05/2015,3,5,9,11,34,39
280,09/05/2015,1,6,9,19,35,36
281,16/05/2015,1,2,11,19,31,38
282,23/05/2015,5,6,14,23,25,29
283,30/05/2015,4,10,14,15,26,34
284,06/06/2015,1,5,13,23,33,39
285,13/06/2015,2,3,10,26,35,38
286,20/06/2015,6,7,18,25,38,39
287,27/06/2015,1,3,12,14,23,38
288,04/07/2015,4,11,20,24,30,38
289,11/07/2015,1,6,8,10,24,30
290,18/07/2015,2,4,5,11,13,17
291,25/07/2015,4,20,25,31,32,33
292,01/08/2015,18,19,21,28,37,40
293,08/08/2015,18,24,29,33,39,40
294,15/08/2015,2,11,17,30,32,34
295,22/08/2015,2,6,10,22,28,39
296,29/08/2015,1,9,11,23,30,35
297,05/09/2015,9,16,21,32,33,35
298,12/09/2015,2,3,14,24,32,38
299,19/09/2015,8,12,16,17,25,39
300,26/09/2015,27,34,36,37,38,39
301,03/10/2015,8,19,23,28,29,40
302,10/10/2015,2,17,21,24,36,40
303,17/10/2015,5,11,13,16,28,32
304,24/10/2015,3,14,17,18,23,37
305,31/10/2015,3,8,13,16,34,35
306,07/11/2015,3,10,12,15,35,39
307,14/11/2015,11,14,20,29,37,39
308,21/11/2015,9,15,22,26,35,40
309,28/11/2015,6,8,24,27,31,35
310,05/12/2015,5,8,13,32,36,37
311,12/12/2015,4,7,12,13,22,37
312,19/12/2015,3,10,19,26,35,37
313,26/12/2015,4,14,15,17,21,34
314,02/01/2016,3,7,9,12,16,32
315,09/01/2016,3,5,10,21,25,37
316,16/01/2016,1,9,28,29,34,36
317,23/01/2016,3,10,13,19,21,36
318,30/01/2016,3,7,27,33,34,40
319,06/02/2016,2,15,18,20,24,33
320,13/02/2016,6,21,25,30,33,35
321,20/02/2016,7,9,11,23,29,38
322,27/02/2016,5,20,22,29,32,37
323,05/03/2016,3,9,10,16,18,28
324,12/03/2016,3,4,12,17,33,40
325,19/03/2016,4,13,17,21,29,34
326,26/03/2016,11,16,22,24,29,40
327,02/04/2016,1,4,9,11,25,32
328,09/04/2016,1,7,9,11,29,36
329,16/04/2016,14,23,25,26,36,40
330,23/04/2016,4,7,25,37,39,40
331,30/04/2016,5,7,12,21,24,31
332,07/05/2016,12,15,22,24,26,36
333,14/05/2016,7,13,20,21,34,37
334,21/05/2016,3,5,9,26,33,34
335,28/05/2016,2,5,17,23,28,34
336,04/06/2016,1,3,9,12,29,38
337,11/06/2016,1,10,13,24,33,37
338,18/06/2016,2,8,13,22,23,34
339,25/06/2016,9,12,16,26,29,31
340,02/07/2016,6,14,17,29,31,34
341,09/07/2016,1,14,15,22,27,33
342,16/07/2016,3,5,22,26,32,38
343,23/07/2016,4,5,13,20,25,38
344,30/07/2016,3,5,20,31,34,39
345,06/08/2016,3,7,16,21,34,37
346,13/08/2016,2,8,9,27,30,35
347,20/08/2016,2,7,14,26,31,35
348,27/08/2016,3,18,24,27,33,38
349,03/09/2016,7,13,14,22,30,36
350,10/09/2016,5,8,14,23,29,34
351,17/09/2016,9,18,20,21,27,30
352,24/09/2016,6,8,17,33,34,39
353,01/10/2016,4,15,21,22,25,37
354,08/10/2016,6,11,14,16,22,38
355,15/10/2016,2,8,13,17,27,39
356,22/10/2016,6,9,10,13,17,27
357,29/10/2016,4,5,6,10,27,36
358,05/11/2016,4,16,18,19,20,23
359,12/11/2016,6,7,8,18,35,38
360,19/11/2016,1,3,13,21,25,37
361,26/11/2016,1,23,29,36,38,39
362,03/12/2016,4,15,28,31,33,34
363,10/12/2016,2,7,15,22,29,34
364,17/12/2016,3,15,17,26,28,37
365,24/12/2016,11,12,27,29,34,36
366,07/01/2017,5,8,21,25,26,37
367,14/01/2017,1,4,11,15,17,34
368,21/01/2017,7,11,13,14,19,36
369,28/01/2017,10,12,27,34,37,38
370,04/02/2017,1,13,21,23,33,38
371,11/02/2017,1,7,10,13,31,36
372,18/02/2017,7,8,19,28,32,36
373,25/02/2017,11,17,22,26,37,40
374,04/03/2017,1,9,13,16,24,33
375,11/03/2017,5,6,7,14,24,36
376,18/03/2017,1,3,10,12,18,24
377,25/03/2017,6,11,21,24,33,37
378,01/04/2017,6,8,12,31,35,38
379,08/04/2017,3,8,14,22,24,35
380,15/04/2017,2,6,15,22,34,40
381,22/04/2017,8,14,15,22,32,37
382,29/04/2017,1,2,12,27,33,38
383,06/05/2017,2,7,14,23,30,34
384,13/05/2017,4,11,13,27,29,40
385,20/05/2017,1,7,8,11,22,24
386,27/05/2017,11,19,22,28,30,35
387,03/06/2017,2,17,31,33,36,38
388,10/06/2017,5,17,24,29,32,33
389,17/06/2017,13,15,17,27,32,39
390,24/06/2017,5,18,32,36,37,39
391,01/07/2017,16,21,23,26,31,32
392,08/07/2017,6,11,13,19,31,35
393,15/07/2017,5,26,28,33,36,37
394,22/07/2017,3,10,18,21,25,30
395,29/07/2017,5,8,11,23,25,32
396,05/08/2017,3,10,20,26,27,34
397,12/08/2017,7,16,17,24,28,31
398,19/08/2017,9,11,14,31,32,35
399,26/08/2017,1,3,5,19,27,30
400,02/09/2017,9,13,19,23,24,28
401,09/09/2017,7,11,19,33,34,38
402,16/09/2017,8,11,20,28,33,39
403,23/09/2017,14,15,16,17,26,28
404,30/09/2017,4,8,31,32,34,36
405,07/10/2017,13,19,20,33,34,36
406,14/10/2017,9,11,13,21,36,39
407,21/10/2017,6,14,15,16,21,23
408,28/10/2017,9,10,11,16,19,24
409,04/11/2017,26,27,33,37,38,40
410,11/11/2017,8,19,26,32,36,40
411,18/11/2017,3,5,6,7,15,22
412,25/11/2017,9,20,21,29,31,33
413,02/12/2017,2,17,20,28,34,39
414,09/12/2017,6,10,24,28,31,35
415,16/12/2017,3,13,19,22,27,28
416,23/12/2017,12,15,16,21,23,37
417,30/12/2017,6,7,8,11,15,38
418,06/01/2018,1,2,7,12,19,28
419,13/01/2018,1,4,8,9,16,40
420,20/01/2018,22,26,32,33,36,37
421,27/01/2018,7,8,11,16,29,33
422,03/02/2018,8,14,24,32,36,40
423,10/02/2018,1,11,21,32,34,39
424,17/02/2018,1,7,16,26,29,38
425,24/02/2018,1,2,11,14,29,33
426,03/03/2018,1,14,18,22,25,40
427,10/03/2018,3,7,8,12,24,29
428,17/03/2018,4,5,14,16,22,35
429,24/03/2018,6,8,9,15,25,33
430,31/03/2018,3,9,13,16,19,39
431,07/04/2018,11,14,22,25,37,40
432,14/04/2018,3,4,11,14,19,23
433,21/04/2018,11,19,20,23,32,39
434,28/04/2018,5,10,13,22,25,39
435,05/05/2018,6,8,19,33,35,37
436,12/05/2018,6,24,25,31,33,38
